Station_name,Day_of_week,Time_slot,Weather_condition,Event_nearby,Is_holiday,Avg_passenger_count
Vaishali,Monday,Evening(4PM - 8PM),Foggy,Yes,No,314
MG Road,Thursday,Evening(4PM - 8PM),Clear,Yes,Yes,408
Mayur Vihar,Wednesday,Evening(4PM - 8PM),Clear,Yes,Yes,499
Yamuna Bank,Saturday,Night(9PM - 11PM),Rainy,Yes,Yes,237
Vaishali,Monday,Morning(7PM - 10 AM),Clear,Yes,Yes,526
Kashmere Gate,Tuesday,Afternoon(11AM - 2PM),Foggy,Yes,Yes,1084
Kashmere Gate,Sunday,Night(9PM - 11PM),Clear,Yes,Yes,625
Rajiv Chowk,Friday,Morning(7PM - 10 AM),Cloudy,Yes,Yes,1055
Chandni Chowk,Friday,Night(9PM - 11PM),Clear,Yes,Yes,502
Karol Bagh,Wednesday,Night(9PM - 11PM),Clear,Yes,Yes,557
Noida City Centre,Sunday,Evening(4PM - 8PM),Cloudy,No,Yes,205
Saket,Monday,Morning(7PM - 10 AM),Cloudy,No,Yes,581
Noida City Centre,Thursday,Evening(4PM - 8PM),Foggy,Yes,Yes,635
Saket,Monday,Evening(4PM - 8PM),Cloudy,Yes,Yes,435
Vaishali,Sunday,Morning(7PM - 10 AM),Cloudy,Yes,No,50
New Delhi,Saturday,Evening(4PM - 8PM),Foggy,No,Yes,771
Hauz Khas,Friday,Evening(4PM - 8PM),Foggy,Yes,Yes,491
Rajiv Chowk,Wednesday,Afternoon(11AM - 2PM),Clear,Yes,No,848
Shivaji Stadium,Tuesday,Morning(7PM - 10 AM),Rainy,Yes,Yes,626
Chandni Chowk,Monday,Morning(7PM - 10 AM),Foggy,Yes,Yes,676
Kashmere Gate,Friday,Evening(4PM - 8PM),Cloudy,Yes,Yes,923
New Delhi,Thursday,Evening(4PM - 8PM),Clear,Yes,Yes,947
Vaishali,Wednesday,Morning(7PM - 10 AM),Cloudy,No,Yes,455
Kashmere Gate,Tuesday,Morning(7PM - 10 AM),Foggy,Yes,Yes,1178
Rajiv Chowk,Monday,Night(9PM - 11PM),Rainy,Yes,Yes,1175
Kashmere Gate,Thursday,Morning(7PM - 10 AM),Clear,Yes,Yes,939
Chandni Chowk,Tuesday,Night(9PM - 11PM),Foggy,Yes,Yes,623
Inderlok,Saturday,Evening(4PM - 8PM),Foggy,Yes,Yes,336
Botanical Garden,Friday,Afternoon(11AM - 2PM),Cloudy,Yes,Yes,497
Kashmere Gate,Saturday,Afternoon(11AM - 2PM),Rainy,No,Yes,903
Rajiv Chowk,Friday,Night(9PM - 11PM),Foggy,Yes,Yes,980
Chandni Chowk,Thursday,Evening(4PM - 8PM),Cloudy,Yes,Yes,406
Botanical Garden,Saturday,Evening(4PM - 8PM),Clear,Yes,Yes,209
Noida City Centre,Friday,Evening(4PM - 8PM),Cloudy,Yes,No,243
Saket,Wednesday,Morning(7PM - 10 AM),Clear,Yes,Yes,548
Inderlok,Thursday,Evening(4PM - 8PM),Cloudy,Yes,No,223
Inderlok,Friday,Morning(7PM - 10 AM),Rainy,Yes,Yes,635
Karol Bagh,Monday,Night(9PM - 11PM),Cloudy,Yes,Yes,502
Lajpat Nagar,Friday,Afternoon(11AM - 2PM),Rainy,Yes,Yes,694
Mayur Vihar,Saturday,Night(9PM - 11PM),Rainy,Yes,Yes,262
Noida City Centre,Wednesday,Evening(4PM - 8PM),Clear,Yes,Yes,584
Yamuna Bank,Tuesday,Evening(4PM - 8PM),Cloudy,Yes,Yes,542
Rohini West,Tuesday,Night(9PM - 11PM),Cloudy,Yes,Yes,454
Central Secretariat,Friday,Morning(7PM - 10 AM),Cloudy,Yes,Yes,456
Chandni Chowk,Tuesday,Morning(7PM - 10 AM),Rainy,Yes,Yes,657
Noida City Centre,Friday,Morning(7PM - 10 AM),Foggy,Yes,No,409
Lajpat Nagar,Wednesday,Afternoon(11AM - 2PM),Cloudy,Yes,Yes,495
Inderlok,Tuesday,Afternoon(11AM - 2PM),Cloudy,Yes,Yes,590
MG Road,Saturday,Evening(4PM - 8PM),Foggy,Yes,Yes,342
Central Secretariat,Saturday,Night(9PM - 11PM),Clear,Yes,Yes,160
Lajpat Nagar,Monday,Night(9PM - 11PM),Cloudy,Yes,Yes,474
Noida City Centre,Friday,Evening(4PM - 8PM),Foggy,Yes,Yes,623
Mayur Vihar,Tuesday,Morning(7PM - 10 AM),Cloudy,Yes,Yes,513
Hauz Khas,Saturday,Afternoon(11AM - 2PM),Rainy,Yes,No,137
Karol Bagh,Sunday,Night(9PM - 11PM),Foggy,Yes,Yes,343
Lajpat Nagar,Wednesday,Evening(4PM - 8PM),Rainy,Yes,Yes,679
Dwarka Sector 21,Wednesday,Morning(7PM - 10 AM),Foggy,Yes,No,380
New Delhi,Sunday,Morning(7PM - 10 AM),Clear,Yes,Yes,820
New Delhi,Sunday,Afternoon(11AM - 2PM),Rainy,Yes,Yes,847
Rohini West,Monday,Afternoon(11AM - 2PM),Cloudy,Yes,Yes,514
MG Road,Wednesday,Evening(4PM - 8PM),Foggy,Yes,Yes,593
Noida City Centre,Wednesday,Evening(4PM - 8PM),Cloudy,Yes,Yes,520
Rajiv Chowk,Tuesday,Morning(7PM - 10 AM),Clear,Yes,Yes,911
Rajiv Chowk,Friday,Morning(7PM - 10 AM),Foggy,Yes,No,895
Rohini West,Thursday,Night(9PM - 11PM),Clear,Yes,Yes,566
Lajpat Nagar,Wednesday,Morning(7PM - 10 AM),Foggy,Yes,Yes,580
Saket,Wednesday,Evening(4PM - 8PM),Rainy,Yes,Yes,505
Kashmere Gate,Thursday,Afternoon(11AM - 2PM),Cloudy,Yes,Yes,934
Noida City Centre,Wednesday,Evening(4PM - 8PM),Rainy,No,Yes,584
Dwarka Sector 21,Tuesday,Night(9PM - 11PM),Rainy,Yes,No,416
Vaishali,Tuesday,Night(9PM - 11PM),Rainy,Yes,Yes,558
Saket,Thursday,Afternoon(11AM - 2PM),Rainy,Yes,Yes,532
Chandni Chowk,Saturday,Evening(4PM - 8PM),Foggy,Yes,Yes,263
Rajiv Chowk,Wednesday,Night(9PM - 11PM),Cloudy,Yes,Yes,1096
Mayur Vihar,Saturday,Evening(4PM - 8PM),Foggy,Yes,Yes,431
Karol Bagh,Wednesday,Night(9PM - 11PM),Foggy,Yes,Yes,626
New Delhi,Friday,Afternoon(11AM - 2PM),Foggy,Yes,Yes,1113
Inderlok,Wednesday,Night(9PM - 11PM),Rainy,Yes,Yes,656
Saket,Tuesday,Evening(4PM - 8PM),Clear,No,Yes,431
Rohini West,Monday,Evening(4PM - 8PM),Rainy,Yes,Yes,572
Yamuna Bank,Sunday,Night(9PM - 11PM),Foggy,Yes,Yes,195
Yamuna Bank,Monday,Morning(7PM - 10 AM),Rainy,Yes,Yes,623
Rohini West,Monday,Afternoon(11AM - 2PM),Cloudy,Yes,Yes,497
New Delhi,Monday,Afternoon(11AM - 2PM),Cloudy,Yes,Yes,960
Noida City Centre,Sunday,Night(9PM - 11PM),Rainy,Yes,Yes,397
Hauz Khas,Saturday,Night(9PM - 11PM),Rainy,Yes,Yes,362
Kashmere Gate,Sunday,Morning(7PM - 10 AM),Clear,Yes,Yes,698
Yamuna Bank,Saturday,Afternoon(11AM - 2PM),Rainy,Yes,Yes,260
Chandni Chowk,Sunday,Morning(7PM - 10 AM),Rainy,Yes,Yes,315
Yamuna Bank,Sunday,Afternoon(11AM - 2PM),Clear,Yes,Yes,205
Yamuna Bank,Wednesday,Night(9PM - 11PM),Rainy,No,Yes,574
Yamuna Bank,Saturday,Afternoon(11AM - 2PM),Rainy,Yes,Yes,251
Hauz Khas,Wednesday,Afternoon(11AM - 2PM),Rainy,Yes,No,412
Hauz Khas,Friday,Afternoon(11AM - 2PM),Rainy,Yes,Yes,611
Chandni Chowk,Wednesday,Morning(7PM - 10 AM),Rainy,Yes,Yes,546
Rajiv Chowk,Monday,Morning(7PM - 10 AM),Foggy,Yes,Yes,1001
Rajiv Chowk,Thursday,Afternoon(11AM - 2PM),Rainy,No,Yes,1082
Mayur Vihar,Thursday,Evening(4PM - 8PM),Clear,Yes,Yes,428
Hauz Khas,Tuesday,Morning(7PM - 10 AM),Rainy,Yes,Yes,560
New Delhi,Tuesday,Night(9PM - 11PM),Foggy,Yes,No,872
Dwarka Sector 21,Wednesday,Night(9PM - 11PM),Clear,Yes,Yes,522
Central Secretariat,Sunday,Afternoon(11AM - 2PM),Clear,Yes,Yes,171
MG Road,Sunday,Night(9PM - 11PM),Rainy,Yes,Yes,313
Yamuna Bank,Thursday,Morning(7PM - 10 AM),Cloudy,Yes,Yes,454
Dwarka Sector 21,Monday,Evening(4PM - 8PM),Foggy,Yes,Yes,616
Chandni Chowk,Saturday,Evening(4PM - 8PM),Cloudy,Yes,Yes,183
Rohini West,Monday,Evening(4PM - 8PM),Rainy,Yes,Yes,614
Hauz Khas,Monday,Night(9PM - 11PM),Foggy,Yes,Yes,664
Dwarka Sector 21,Wednesday,Afternoon(11AM - 2PM),Cloudy,Yes,No,290
MG Road,Wednesday,Night(9PM - 11PM),Foggy,Yes,Yes,592
Shivaji Stadium,Friday,Afternoon(11AM - 2PM),Rainy,Yes,Yes,622
Shivaji Stadium,Monday,Evening(4PM - 8PM),Foggy,Yes,Yes,626
Rajiv Chowk,Sunday,Morning(7PM - 10 AM),Rainy,Yes,Yes,680
Saket,Sunday,Night(9PM - 11PM),Cloudy,Yes,Yes,142
Dwarka Sector 21,Monday,Morning(7PM - 10 AM),Foggy,Yes,Yes,611
Shivaji Stadium,Wednesday,Evening(4PM - 8PM),Clear,Yes,No,382
Kashmere Gate,Wednesday,Afternoon(11AM - 2PM),Rainy,Yes,Yes,1025
Rohini West,Friday,Morning(7PM - 10 AM),Foggy,Yes,Yes,571
Central Secretariat,Friday,Night(9PM - 11PM),Clear,Yes,Yes,512
Mayur Vihar,Tuesday,Morning(7PM - 10 AM),Clear,No,Yes,451
Kashmere Gate,Thursday,Morning(7PM - 10 AM),Clear,Yes,Yes,1027
Mayur Vihar,Monday,Night(9PM - 11PM),Clear,No,Yes,535
Rohini West,Sunday,Afternoon(11AM - 2PM),Rainy,Yes,Yes,321
Noida City Centre,Monday,Night(9PM - 11PM),Foggy,Yes,No,410
Rohini West,Friday,Evening(4PM - 8PM),Clear,Yes,Yes,449
Saket,Friday,Afternoon(11AM - 2PM),Foggy,Yes,Yes,585
Rajiv Chowk,Tuesday,Morning(7PM - 10 AM),Foggy,Yes,Yes,1163
Vaishali,Thursday,Night(9PM - 11PM),Cloudy,Yes,Yes,518
Noida City Centre,Tuesday,Evening(4PM - 8PM),Foggy,Yes,Yes,483
Vishwavidyalaya,Sunday,Night(9PM - 11PM),Rainy,Yes,Yes,340
Vaishali,Thursday,Afternoon(11AM - 2PM),Rainy,Yes,Yes,620
Rajiv Chowk,Saturday,Evening(4PM - 8PM),Clear,Yes,No,482
MG Road,Monday,Morning(7PM - 10 AM),Foggy,Yes,Yes,589
Vishwavidyalaya,Tuesday,Afternoon(11AM - 2PM),Rainy,Yes,Yes,569
Karol Bagh,Friday,Evening(4PM - 8PM),Rainy,Yes,No,403
Kashmere Gate,Tuesday,Afternoon(11AM - 2PM),Rainy,Yes,Yes,1100
Noida City Centre,Saturday,Morning(7PM - 10 AM),Clear,Yes,Yes,187
Shivaji Stadium,Tuesday,Evening(4PM - 8PM),Rainy,Yes,Yes,613
Shivaji Stadium,Monday,Night(9PM - 11PM),Foggy,Yes,Yes,593
Rohini West,Saturday,Night(9PM - 11PM),Rainy,Yes,Yes,350
Yamuna Bank,Friday,Morning(7PM - 10 AM),Rainy,Yes,No,441
Hauz Khas,Friday,Evening(4PM - 8PM),Clear,Yes,Yes,432
Rajiv Chowk,Wednesday,Morning(7PM - 10 AM),Foggy,Yes,Yes,1118
Shivaji Stadium,Saturday,Morning(7PM - 10 AM),Rainy,Yes,Yes,286
New Delhi,Wednesday,Afternoon(11AM - 2PM),Foggy,Yes,Yes,1051
Chandni Chowk,Wednesday,Night(9PM - 11PM),Foggy,Yes,Yes,616
Chandni Chowk,Monday,Morning(7PM - 10 AM),Rainy,Yes,Yes,620
Saket,Tuesday,Afternoon(11AM - 2PM),Clear,Yes,Yes,638
Saket,Friday,Morning(7PM - 10 AM),Foggy,Yes,Yes,488
Kashmere Gate,Friday,Morning(7PM - 10 AM),Cloudy,Yes,Yes,976
Mayur Vihar,Tuesday,Morning(7PM - 10 AM),Rainy,Yes,Yes,725
Shivaji Stadium,Friday,Night(9PM - 11PM),Foggy,Yes,Yes,562
Shivaji Stadium,Tuesday,Evening(4PM - 8PM),Foggy,Yes,Yes,618
Kashmere Gate,Saturday,Night(9PM - 11PM),Foggy,No,Yes,810
Rohini West,Monday,Afternoon(11AM - 2PM),Rainy,Yes,No,404
Rajiv Chowk,Monday,Evening(4PM - 8PM),Cloudy,Yes,Yes,971
Rohini West,Sunday,Afternoon(11AM - 2PM),Foggy,Yes,Yes,275
MG Road,Monday,Morning(7PM - 10 AM),Foggy,Yes,Yes,615
Yamuna Bank,Tuesday,Evening(4PM - 8PM),Clear,Yes,Yes,490
Vaishali,Sunday,Afternoon(11AM - 2PM),Rainy,No,Yes,315
Central Secretariat,Tuesday,Morning(7PM - 10 AM),Rainy,Yes,Yes,623
Dwarka Sector 21,Thursday,Afternoon(11AM - 2PM),Foggy,Yes,No,449
Vaishali,Sunday,Afternoon(11AM - 2PM),Clear,Yes,Yes,253
Rohini West,Friday,Night(9PM - 11PM),Foggy,Yes,Yes,608
Kashmere Gate,Friday,Morning(7PM - 10 AM),Foggy,No,Yes,1044
Shivaji Stadium,Thursday,Night(9PM - 11PM),Rainy,Yes,Yes,663
Kashmere Gate,Thursday,Evening(4PM - 8PM),Clear,Yes,Yes,1017
Vishwavidyalaya,Monday,Morning(7PM - 10 AM),Foggy,Yes,No,442
Botanical Garden,Thursday,Night(9PM - 11PM),Rainy,Yes,Yes,624
Vishwavidyalaya,Tuesday,Night(9PM - 11PM),Foggy,Yes,Yes,590
Hauz Khas,Wednesday,Evening(4PM - 8PM),Foggy,Yes,Yes,584
Kashmere Gate,Tuesday,Afternoon(11AM - 2PM),Clear,Yes,Yes,1081
Shivaji Stadium,Sunday,Afternoon(11AM - 2PM),Clear,Yes,Yes,206
Saket,Thursday,Afternoon(11AM - 2PM),Clear,Yes,Yes,499
Central Secretariat,Friday,Evening(4PM - 8PM),Foggy,Yes,No,361
Rajiv Chowk,Tuesday,Night(9PM - 11PM),Cloudy,Yes,Yes,988
Central Secretariat,Friday,Morning(7PM - 10 AM),Clear,Yes,No,350
Rajiv Chowk,Tuesday,Evening(4PM - 8PM),Cloudy,Yes,Yes,1005
Botanical Garden,Friday,Afternoon(11AM - 2PM),Cloudy,Yes,No,367
Shivaji Stadium,Saturday,Afternoon(11AM - 2PM),Cloudy,Yes,No,50
Rohini West,Tuesday,Morning(7PM - 10 AM),Rainy,Yes,Yes,607
Vaishali,Sunday,Evening(4PM - 8PM),Foggy,Yes,Yes,280
Noida City Centre,Friday,Afternoon(11AM - 2PM),Clear,Yes,No,305
Kashmere Gate,Wednesday,Evening(4PM - 8PM),Foggy,Yes,Yes,1059
Yamuna Bank,Sunday,Night(9PM - 11PM),Foggy,Yes,Yes,333
Rajiv Chowk,Monday,Evening(4PM - 8PM),Rainy,Yes,Yes,1099
Shivaji Stadium,Tuesday,Night(9PM - 11PM),Rainy,Yes,Yes,590
New Delhi,Wednesday,Morning(7PM - 10 AM),Rainy,Yes,Yes,1089
Mayur Vihar,Monday,Night(9PM - 11PM),Foggy,Yes,Yes,636
Botanical Garden,Tuesday,Night(9PM - 11PM),Cloudy,Yes,Yes,470
Dwarka Sector 21,Wednesday,Morning(7PM - 10 AM),Foggy,Yes,Yes,653
Dwarka Sector 21,Wednesday,Afternoon(11AM - 2PM),Rainy,Yes,Yes,580
Lajpat Nagar,Sunday,Morning(7PM - 10 AM),Foggy,No,No,133
Mayur Vihar,Saturday,Evening(4PM - 8PM),Rainy,Yes,Yes,278
Vaishali,Wednesday,Morning(7PM - 10 AM),Rainy,Yes,Yes,573
Hauz Khas,Saturday,Evening(4PM - 8PM),Clear,Yes,Yes,275
Rajiv Chowk,Thursday,Afternoon(11AM - 2PM),Cloudy,Yes,Yes,1035
Inderlok,Sunday,Evening(4PM - 8PM),Rainy,Yes,No,106
Rajiv Chowk,Friday,Morning(7PM - 10 AM),Clear,No,Yes,927
Chandni Chowk,Sunday,Morning(7PM - 10 AM),Cloudy,Yes,Yes,221
Shivaji Stadium,Monday,Afternoon(11AM - 2PM),Rainy,Yes,Yes,651
Mayur Vihar,Friday,Morning(7PM - 10 AM),Cloudy,Yes,No,310
Central Secretariat,Friday,Afternoon(11AM - 2PM),Cloudy,Yes,Yes,501
Kashmere Gate,Saturday,Afternoon(11AM - 2PM),Foggy,Yes,Yes,810
Yamuna Bank,Friday,Morning(7PM - 10 AM),Clear,Yes,Yes,522
Yamuna Bank,Wednesday,Night(9PM - 11PM),Cloudy,Yes,Yes,471
New Delhi,Saturday,Evening(4PM - 8PM),Foggy,Yes,Yes,799
Botanical Garden,Friday,Night(9PM - 11PM),Cloudy,Yes,Yes,506
Dwarka Sector 21,Saturday,Afternoon(11AM - 2PM),Foggy,Yes,Yes,348
Kashmere Gate,Thursday,Evening(4PM - 8PM),Rainy,Yes,Yes,993
Saket,Saturday,Night(9PM - 11PM),Rainy,Yes,Yes,349
Chandni Chowk,Tuesday,Morning(7PM - 10 AM),Foggy,Yes,Yes,523
Yamuna Bank,Wednesday,Night(9PM - 11PM),Rainy,No,Yes,567
Botanical Garden,Monday,Evening(4PM - 8PM),Rainy,Yes,Yes,600
Kashmere Gate,Tuesday,Evening(4PM - 8PM),Rainy,Yes,Yes,1136
Rajiv Chowk,Tuesday,Evening(4PM - 8PM),Cloudy,No,No,855
Rohini West,Tuesday,Evening(4PM - 8PM),Foggy,Yes,Yes,566
Rajiv Chowk,Friday,Night(9PM - 11PM),Clear,Yes,Yes,1030
Kashmere Gate,Saturday,Morning(7PM - 10 AM),Clear,Yes,Yes,657
Vishwavidyalaya,Saturday,Morning(7PM - 10 AM),Foggy,Yes,No,50
Karol Bagh,Sunday,Evening(4PM - 8PM),Cloudy,Yes,Yes,278
Kashmere Gate,Friday,Morning(7PM - 10 AM),Rainy,Yes,Yes,1176
Vaishali,Wednesday,Night(9PM - 11PM),Rainy,Yes,Yes,584
Botanical Garden,Friday,Morning(7PM - 10 AM),Cloudy,Yes,Yes,429
Vishwavidyalaya,Friday,Afternoon(11AM - 2PM),Clear,Yes,Yes,444
Inderlok,Friday,Morning(7PM - 10 AM),Foggy,Yes,Yes,655
Hauz Khas,Wednesday,Evening(4PM - 8PM),Foggy,Yes,Yes,620
Karol Bagh,Sunday,Morning(7PM - 10 AM),Cloudy,Yes,Yes,146
Hauz Khas,Wednesday,Morning(7PM - 10 AM),Rainy,Yes,Yes,609
Yamuna Bank,Thursday,Morning(7PM - 10 AM),Rainy,Yes,Yes,561
Vaishali,Sunday,Morning(7PM - 10 AM),Rainy,Yes,Yes,222
Rajiv Chowk,Thursday,Afternoon(11AM - 2PM),Foggy,Yes,No,847
Saket,Thursday,Night(9PM - 11PM),Clear,Yes,Yes,553
MG Road,Thursday,Evening(4PM - 8PM),Foggy,No,Yes,516
Shivaji Stadium,Saturday,Evening(4PM - 8PM),Cloudy,Yes,Yes,193
Noida City Centre,Tuesday,Morning(7PM - 10 AM),Foggy,Yes,Yes,544
Karol Bagh,Tuesday,Night(9PM - 11PM),Cloudy,Yes,Yes,559
Kashmere Gate,Thursday,Morning(7PM - 10 AM),Foggy,Yes,Yes,1090
Vishwavidyalaya,Thursday,Afternoon(11AM - 2PM),Clear,Yes,No,351
Lajpat Nagar,Monday,Night(9PM - 11PM),Cloudy,Yes,Yes,463
Noida City Centre,Tuesday,Night(9PM - 11PM),Rainy,Yes,Yes,610
Central Secretariat,Monday,Night(9PM - 11PM),Rainy,Yes,Yes,566
Lajpat Nagar,Sunday,Night(9PM - 11PM),Foggy,Yes,Yes,232
Rohini West,Monday,Morning(7PM - 10 AM),Foggy,Yes,Yes,557
Rajiv Chowk,Friday,Afternoon(11AM - 2PM),Clear,Yes,Yes,978
Vaishali,Saturday,Night(9PM - 11PM),Clear,Yes,Yes,134
Botanical Garden,Sunday,Evening(4PM - 8PM),Rainy,No,No,139
Shivaji Stadium,Wednesday,Evening(4PM - 8PM),Foggy,Yes,Yes,557
Botanical Garden,Tuesday,Afternoon(11AM - 2PM),Cloudy,Yes,Yes,552
New Delhi,Thursday,Evening(4PM - 8PM),Clear,Yes,No,761
Mayur Vihar,Sunday,Morning(7PM - 10 AM),Cloudy,Yes,Yes,182
Inderlok,Thursday,Morning(7PM - 10 AM),Cloudy,Yes,Yes,458
Hauz Khas,Wednesday,Afternoon(11AM - 2PM),Clear,Yes,Yes,499
Hauz Khas,Sunday,Night(9PM - 11PM),Foggy,No,Yes,259
Mayur Vihar,Tuesday,Evening(4PM - 8PM),Cloudy,Yes,Yes,455
Yamuna Bank,Sunday,Evening(4PM - 8PM),Foggy,Yes,Yes,374
Rohini West,Thursday,Afternoon(11AM - 2PM),Cloudy,Yes,No,359
